location,gender,application_year,award_amount
"Missing, Missing",Missing,1,148951.2
"Lincoln, NE",Female,1,145395.96
"Lincoln, NE",Male,1,72301.94
"Omaha, NE",Female,1,69026.16
"Omaha, NE",Male,1,25530.43
"OMAHA, NE",Female,1,21177.15
"Lincoln, NE",Female,2,15424.62
"Grand Island, NE",Female,1,15312.21
"Hastings, NE",Female,1,13542.630000000001
"Missing, Missing",Missing,2,12136.65
"Grand Island, NE",Male,1,11875.869999999999
"OMAHA, NE",Male,1,8965.24
"Beatrice, NE",Female,1,8707.6
"GRAND ISLAND, NE",Female,1,8192.93
"Columbus, NE",Female,1,7723.99
"Bellevue, NE",Female,1,7700.0
"Hastings, NE",Male,1,6961.1900000000005
"Falls City, NE",Female,1,6739.98
"Beatrice, NE",Male,1,6636.32
"Kearney, NE",Female,1,5725.11
"York, NE",Female,1,5706.889999999999
"Gretna, NE",Female,1,5319.5
"Lincoln, NE",Male,2,4672.06
"Papillion, NE",Female,1,4564.55
"Bellevue, NE",Male,1,4535.07
"BELLEVUE, NE",Female,1,4336.75
"Omaha, NE",Male,2,4149.54
"Nebraska City, NE",Female,1,4121.34
"La Vista, NE",Female,1,3970.0
"Omaha, NE",Female,2,3477.74
"Omaha, Ne",Male,1,3349.94
"North Platte, NE",Male,1,3215.52
"OMAHA, NE",Male,2,3137.99
"York, NE",Male,1,3037.98
"Elkhorn, NE",Female,1,3034.88
"council bluffs, IA",Female,1,3029.87
"Fremont, NE",Female,1,3028.6
"KEARNEY, NE",Female,1,3024.6
"Pawnee City, NE",Female,1,3019.9
"Palmyra, NE",Female,1,3000.0
"Roca, NE",Male,1,3000.0
"Elkhorn, NE",Male,2,3000.0
"GRAND ISLAND, NE",Female,2,2955.81
"Council Bluffs, IA",Male,1,2932.69
"Syracuse, NE",Female,1,2687.9300000000003
"council bluffs, IA",Male,1,2585.0
"Cortland, NE",Female,1,2533.68
"Tecumseh, NE",Female,1,2510.63
"Gretna, NE",Male,1,2481.87
"Norfolk, NE",Female,1,2450.99
"Elkhorn, NE",Male,1,2425.0
"Hickman, NE",Male,1,2424.0
"Crete, NE",Male,1,2405.64
"Fairbury, NE",Female,1,2400.3
"Seward, NE",Male,1,2380.64
"LEXINGTON, NE",Female,1,2312.0
"Milford, NE",Male,1,2250.0
"Crete, NE",Female,1,2230.73
"Valley, NE",Female,1,2194.0
"Kearney, NE",Male,1,2175.0
"Lexington, NE",Female,1,2025.0
"Overton, NE",Male,1,2020.0
"Sioux City, IA",Female,1,1978.29
"Syracuse, NE",Male,1,1966.5
"OMAHA, NE",Female,2,1950.0
"ASHLAND, NE",Male,2,1922.26
"Council Bluffs, IA",Female,1,1921.01
"Saint Paul, NE",Female,1,1833.17
"Central City, NE",Male,1,1811.0
"Wahoo, NE",Female,2,1800.0
"Lincoln, ne",Female,1,1747.72
"Alda, NE",Female,1,1683.15
"Hickman, NE",Female,1,1634.96
"Grand Island, NE",Female,2,1590.32
"Hallam, NE",Male,1,1574.26
"Missing, Missing",Missing,3,1550.0900000000001
"Milford, NE",Male,2,1550.0
"Falls City, NE",Male,1,1502.12
"Exeter, NE",Female,1,1502.03
"Platte Center, NE",Male,1,1501.02
"Fall City, NE",Female,1,1500.12
"Walnut, IA",Female,1,1500.0
"Waverly, NE",Female,1,1500.0
"columbus, ne",Female,1,1500.0
"Aurora, NE",Female,1,1500.0
"Utica, NE",Male,1,1500.0
"Rockville, NE",Male,1,1500.0
"Denton, NE",Male,1,1500.0
"Papillion, Ne",Female,1,1500.0
"Oneill, NE",Female,1,1500.0
"Ogallala, NE",Female,1,1500.0
"Cairo, NE",Female,3,1500.0
"Minden, NE",Female,1,1500.0
"Earling, NE",Male,1,1500.0
"McCook, NE",Male,1,1500.0
"ERICSON, NE",Female,2,1500.0
"Crete, Ne",Female,1,1500.0
"Fremont, NE",Male ,1,1500.0
"Decatur, NE",Female,1,1499.16
"Endicott, NE",Female,1,1490.5
